+------+--------------------------+--------------------------+----------+
| Game |         Player 1         |         Player 2         |  Winner  |
|  46  |   [AS, KS, TC, 7C, 4D]   |  [[6D, 6C], 9H, 3C, 2D]  | Player 2 |
|  47  |   [QS, TD, 8C, 5D, 2C]   |  [[9C, 9H], 7H, 4C, 3H]  | Player 2 |
|  48  |  [[TS, TD], JH, 7S, 5H]  |  [[8H, 8S], AD, QD, 6H]  | Player 1 |
|  49  |   [AD, 9C, 8C, 7C, 5S]   |  [[8D, 8S], 9D, 5H, 2S]  | Player 2 |
|  50  |  [[KH, KS], 9S, 4H, 2S]  |   [AD, KC, 7D, 5S, 4S]   | Player 1 |
|  51  |  [[QS, QD], JS, 9C, 6H]  |  [[AC, AS], 8D, 5D, 2S]  | Player 2 |
|  52  |   [AC, KH, JC, 9D, 3S]   |  [[9S, 9C], JS, 5S, 3C]  | Player 2 |
|  53  |  [[3C, 3D, 3S], AD, KS]  |   [TS, 9C, 8C, 5C, 4S]   | Player 1 |
|  54  |   [KD, JH, 8D, 6H, 5D]   |  [[QS, QD], KC, 6C, 3D]  | Player 2 |
|  55  |  [[8S, 8C], JD, 6C, 3S]  |  [[QC, QH], JS, TC, 3C]  | Player 2 |
|  56  |   [KC, JC, 9H, 8H, 2S]   | [[9C, 9S], [8S, 8C], JH] | Player 2 |
|  57  |  [[QH, QC], 8S, 4D, 2H]  |   [AS, KC, TH, 9D, 3C]   | Player 1 |
|  58  |   [TH, 8S, 7C, 6H, 2H]   |  [[3C, 3H], AS, 7S, 6S]  | Player 2 |
|  59  |  [[5S, 5H], QH, JS, 4H]  |  [[AH, AC], JC, TS, 8H]  | Player 2 |
|  60  |   [TC, 9D, 8H, 4S, 2S]   |  [[3C, 3H], JC, 7H, 5C]  | Player 2 |
|  61  |  [[3D, 3C, 3S], AD, 4C]  |   [AS, QC, TH, 8C, 5D]   | Player 1 |
|  62  |   [KH, JS, 9D, 6S, 4C]   |  [[AH, AD], JD, TS, 8H]  | Player 2 |
|  63  |   [AC, 9D, 7S, 6S, 4C]   |  [[3D, 3S], JD, TC, 4D]  | Player 2 |
|  64  |   [AD, JH, 7H, 6H, 4H]   |  [[TD, TS], KC, 7D, 6S]  | Player 2 |
|  65  |  [[8H, 8D], JH, TC, 3S]  |   [9S, 8C, 5C, 4D, 2C]   | Player 1 |
|  66  |   [KC, QH, TH, 9D, 2C]   |   [QS, JC, TS, 9C, 4H]   | Player 1 |
|  67  |  [[QS, QD], KH, 8H, 3C]  |  [[8D, 8S], AC, TD, 4H]  | Player 1 |
|  68  |   [TH, 8H, 7C, 5S, 3C]   |   [KD, JD, TC, 9C, 8C]   | Player 2 |
|  69  |  [[TC, TS], QC, JD, 8C]  |   [KD, TD, 7C, 6H, 3H]   | Player 1 |
|  70  |   [KS, QS, JH, 9C, 6D]   |  [[6S, 6H], AS, KH, 9H]  | Player 2 |
|  71  |  [[2H, 2D], AH, JH, 4D]  |   [JD, TD, 6H, 5D, 4H]   | Player 1 |
|  72  |   [KD, QD, JH, 9S, 8C]   |   [QS, JS, 7C, 5C, 2C]   | Player 1 |
|  73  |   [TC, 8D, 7H, 4S, 2S]   |  [[7S, 7C], KC, 9C, 6H]  | Player 2 |
|  74  |   [TD, 8C, 7H, 5D, 4S]   |   [KS, QC, JS, 8S, 4H]   | Player 2 |
|  75  |   [AD, JH, TD, 8S, 6D]   |  [[7C, 7D], KD, 6C, 2D]  | Player 2 |
|  76  | [[JC, JS], [6H, 6S], 4H] |   [AH, QH, 9H, 4C, 3C]   | Player 1 |
|  77  |  [[7C, 7S], AS, 6H, 5H]  | [[KH, KC], [5D, 5C], 3D] | Player 2 |
|  78  |   [AS, JC, TD, 4D, 3D]   |  [[6D, 6S], KS, QH, JD]  | Player 2 |
|  79  |  [[8C, 8S], QH, 7S, 2S]  |   [AH, QD, JD, 7H, 5C]   | Player 1 |
|  80  |  [[6H, 6C], 8S, 3C, 2C]  |  [[4C, 4D], TD, 8D, 7D]  | Player 1 |
|  81  |   [KH, QH, 7C, 5D, 2S]   |  [[QC, QD], JS, 7H, 6D]  | Player 2 |
|  82  |  [[6C, 6S], AD, TH, 7D]  |   [KH, 8H, 6H, 4H, 2H]   | Player 2 |
|  83  |  [[KS, KD], JS, 5D, 2D]  |   [KH, 9C, 8C, 7D, 3D]   | Player 1 |
|  84  |   [KS, QD, 9C, 6D, 3C]   |   [AH, JD, 7S, 3S, 2D]   | Player 2 |
|  85  |  [[AH, AS], QH, JC, 8S]  |   [KC, TH, 8H, 7D, 4C]   | Player 1 |
|  86  |  [[5H, 5D], JC, TD, 7C]  |   [AD, KD, JS, 8H, 4C]   | Player 1 |
|  87  |  [[AC, AH], KC, 7D, 2H]  |   [KH, JH, 7S, 6D, 5D]   | Player 1 |
|  88  |  [[9S, 9C], 8S, 6H, 5S]  |   [AC, JD, TD, 9H, 6C]   | Player 1 |
|  89  |   [KD, TS, 8S, 7D, 6D]   | [[7H, 7C], [5S, 5D], AC] | Player 2 |
|  90  |   [AH, QC, JC, TC, 4C]   |  [[2H, 2C], TS, 8C, 7D]  | Player 2 |
|  91  |  [[KD, KC], 7D, 6S, 3D]  |  [[5S, 5C], 8S, 3H, 2S]  | Player 1 |
|  92  |  [[8S, 8H], 6H, 5D, 4C]  |  [[KC, KD], 7C, 5S, 3H]  | Player 2 |
|  93  |  [[3D, 3C], JH, 8C, 6C]  |  [[7H, 7C], KC, TD, 4C]  | Player 2 |
|  94  |   [KC, QS, JC, TS, 6H]   |  [[8H, 8C], KS, TD, 9S]  | Player 2 |
|  95  |   [QH, 9C, 7D, 6C, 5S]   |  [[KS, KC], AH, 9S, 2C]  | Player 2 |
|  96  |  [[4D, 4S], TD, 9C, 8H]  |   [AS, TH, 9D, 7D, 3S]   | Player 1 |
|  97  |  [[6S, 6H], 7D, 5D, 3C]  |  [[9D, 9C], KD, 5C, 2C]  | Player 2 |
|  98  |  [[3D, 3H], AD, KC, 2H]  |  [[QD, QS], JC, 8D, 4S]  | Player 2 |
|  99  |   [AD, 9C, 8C, 7C, 3H]   |  [[JC, JS], AS, 9D, 5D]  | Player 2 |
| 100  |  [[5D, 5C], 9H, 7H, 6S]  |  [[QC, QD], JC, 9S, 6C]  | Player 2 |
| 101  |  [[JC, JH], QS, 6S, 2C]  |   [QC, TC, 9C, 4S, 3D]   | Player 1 |
| 102  |  [[4H, 4D], 8D, 5S, 3D]  |  [[2S, 2H, 2C], KC, JS]  | Player 2 |
| 103  |  [[TD, TH], KD, 4D, 3S]  |  [[JH, JS], AC, KS, 7H]  | Player 2 |
| 104  |  [[8C, 8S], 9S, 7S, 2D]  |  [[AD, AS], 9D, 7D, 5C]  | Player 2 |
| 105  |   [TH, 8C, 7H, 6C, 2S]   |  [[3H, 3S], AC, 8H, 4C]  | Player 2 |
| 106  |  [[JC, JD], KD, 8H, 5H]  |   [JH, TD, 5C, 4H, 2D]   | Player 1 |
| 107  |   [AS, KS, QH, 7H, 3D]   |  [[5S, 5H], JD, 8S, 6D]  | Player 2 |
| 108  |   [QS, JC, TC, 9S, 6S]   |  [[5C, 5D], TH, 9C, 8C]  | Player 2 |
| 109  |   [JH, 9H, 5H, 3S, 2S]   |   [AS, KS, 7S, 6S, 2C]   | Player 2 |
| 110  |  [[QD, QS], JC, TC, 8C]  |   [AC, KH, QC, 6C, 4H]   | Player 1 |
| 111  |   [JH, TC, 7D, 5H, 4H]   |   [KS, JC, 8D, 4D, 2H]   | Player 2 |
| 112  | [[KH, KD], [9C, 9H], 5S] |   [TS, 7D, 5C, 3D, 2D]   | Player 1 |
| 113  |   [AS, TC, 8C, 5H, 4D]   |   [TS, 9D, 8D, 3H, 2C]   | Player 1 |
| 114  |   [JD, 9H, 8D, 6H, 2D]   | [[6C, 6D], [5H, 5S], 4S] | Player 2 |
| 115  |   [AD, JC, 9C, 7D, 6H]   |  [[9S, 9H], JS, 6D, 3C]  | Player 2 |
| 116  |   [AD, QS, JH, TC, 4C]   |  [[9S, 9C], AH, 7C, 5D]  | Player 2 |
| 117  |   [KD, TH, 8S, 6H, 2H]   |  [[9D, 9H], AS, KS, QD]  | Player 2 |
| 118  |  [[8H, 8D], 6C, 5H, 4H]  |  [[AH, AS, AD], 8S, 5S]  | Player 2 |
| 119  |   [QS, TD, 5D, 4S, 2H]   |   [AC, KS, JC, 5H, 3H]   | Player 2 |
| 120  |   [AC, KD, QD, 9C, 7D]   | [[6D, 6H], [5H, 5S], QH] | Player 2 |
| 121  |   [AH, KC, QH, 7D, 2H]   |   [KS, QS, JD, 7S, 3H]   | Player 1 |
| 122  |  [[6C, 6D], KS, 8S, 3H]  |  [[5D, 5C], QD, TC, 8H]  | Player 1 |
| 123  | [[9H, 9D], [4D, 4S], 6S] |   [KH, QC, JD, 6C, 4H]   | Player 1 |
| 124  |   [QH, TD, 6H, 4S, 2D]   |   [KD, QD, JH, 8C, 3C]   | Player 2 |
| 125  |   [QD, 9D, 7C, 6H, 4S]   |  [[AS, AH, AD], 6S, 3C]  | Player 2 |
| 126  |   [KC, TH, 8D, 6H, 2C]   |  [[5C, 5D], AH, 8S, 6D]  | Player 2 |
| 127  |  [[TD, TS], AD, JC, 7C]  |   [KC, QD, 9H, 7H, 3C]   | Player 1 |
| 128  | [[5D, 5S], [4D, 4H], 8H] |   [KD, JD, 7D, 3H, 2D]   | Player 1 |
| 129  |   [QS, JH, TD, 6H, 4S]   |  [[8S, 8H], KD, 7D, 5C]  | Player 2 |
| 130  |  [[AC, AS], TD, 8C, 3D]  |   [KH, JD, 7H, 6C, 5D]   | Player 1 |
| 131  |   [KS, QH, 9D, 7C, 6D]   |  [[KD, KC], AS, JD, TC]  | Player 2 |
| 132  |  [[7S, 7D], JH, 8S, 5S]  | [[AS, AD], [2D, 2H], 3D] | Player 2 |
| 133  |   [AS, QD, 5D, 3C, 2H]   |  [[9H, 9S], KC, 6H, 2C]  | Player 2 |
| 134  |   [JH, TH, 9D, 5D, 4C]   |  [[8D, 8H], TC, 9H, 3H]  | Player 2 |
| 135  |  [[2C, 2H], KD, TD, 6H]  |   [JS, 9D, 8C, 6C, 2D]   | Player 1 |
| 136  |  [[7S, 7C], AS, KD, 3C]  |   [AD, QH, TS, 8C, 2S]   | Player 1 |
| 137  |   [QS, JS, 8H, 6C, 4C]   |  [[TD, TS], AD, QC, 9S]  | Player 2 |
| 138  |  [[TS, TC], 8C, 7C, 2H]  |   [JC, 9H, 6D, 3C, 2D]   | Player 1 |
| 139  |   [KS, JH, TC, 8D, 2H]   |  [[TD, TH], 8H, 6D, 3H]  | Player 2 |
| 140  |  [[9D, 9H], QC, TD, 5D]  |  [[8H, 8C], KC, TS, 6C]  | Player 1 |
| 141  |   [AH, 8C, 4D, 3D, 2H]   |  [[TH, TC], KC, 8H, 7D]  | Player 2 |
| 142  |   [TS, 8C, 6S, 5C, 2D]   |  [[KH, KC], AH, 6H, 5H]  | Player 2 |
| 143  |  [[5S, 5D], AH, TC, 4C]  | [[8D, 8C], [6H, 6C], JD] | Player 2 |
| 144  |   [KC, QD, 8H, 3D, 2D]   |   [AD, JC, 9H, 4H, 2S]   | Player 2 |
| 145  |   [KD, JS, TD, 7D, 6S]   |   [QS, 8C, 4H, 3S, 2S]   | Player 1 |
| 146  |   [JH, TS, 9H, 4C, 3S]   |  [[9S, 9C], QC, 5S, 4H]  | Player 2 |
| 147  |  [[9H, 9S], KD, JS, 2C]  |   [AC, JC, TS, 5D, 3H]   | Player 1 |
| 148  | [[AS, AD], [5D, 5H], 2H] |  [[JC, JS], TD, 7S, 4C]  | Player 1 |
| 149  |   [8H, 7D, 4S, 3D, 2D]   |   [AD, KD, TS, 9C, 2C]   | Player 2 |
| 150  |  [[JH, JS], QD, 7H, 5H]  |   [AC, TH, 8H, 4C, 3D]   | Player 1 |
| 151  |  [[KH, KC], QD, 6D, 5C]  |  [[AD, AC], 7C, 4H, 2D]  | Player 2 |
| 152  |   [QD, TC, 9D, 8S, 3D]   |  [[JC, JD], AH, 4H, 2C]  | Player 2 |
| 153  |  [[TD, TC], 8S, 6C, 5S]  |  [[AH, AS, AC], 5D, 2C]  | Player 2 |
| 154  |   [AS, TH, 7S, 6C, 3D]   | [[7H, 7D], [4C, 4H], AH] | Player 2 |
| 155  |   [KS, 7S, 6H, 5C, 2H]   |  [[3D, 3C], 7H, 5H, 4H]  | Player 2 |
| 156  |   [AC, QH, 9S, 7S, 3C]   |  [[3D, 3S, 3H], 6S, 2H]  | Player 2 |
| 157  |  [[2D, 2C], AS, 6H, 3H]  |  [[6S, 6C], JS, TC, 9C]  | Player 2 |
| 158  |  [[QH, QD], AC, KD, 6D]  |   [KH, TS, 8C, 6H, 2C]   | Player 1 |
| 159  |   [9H, 8H, 7D, 5D, 3S]   |   [QC, 9S, 5H, 4S, 3H]   | Player 2 |
| 160  |   [9D, 7H, 6H, 3C, 2D]   |  [[4D, 4S], 8S, 5H, 3S]  | Player 2 |
| 161  |   [KD, TC, 9S, 7S, 4S]   |   [QC, 8S, 7H, 3S, 2H]   | Player 1 |
| 162  |  [[3D, 3H], TC, 8C, 6C]  |  [[KS, KD], 6H, 4D, 2H]  | Player 2 |
| 163  |  [[3D, 3H], KC, JS, 9S]  |  [[8H, 8S], 6C, 4S, 2D]  | Player 2 |
| 164  | [[QS, QD], [6H, 6C], TC] |  [[7D, 7C], 9H, 5H, 4D]  | Player 1 |
| 165  |  [[6S, 6C], TD, 9D, 8D]  |  [[TC, TS], JS, 8H, 5D]  | Player 2 |
| 166  |   [KC, JD, TC, 9H, 4H]   |   [AS, 8H, 6S, 5H, 2C]   | Player 2 |
| 167  |  [[9C, 9D], JS, 6S, 5C]  |   [KC, JD, 8H, 6D, 4C]   | Player 1 |
| 168  |  [[8D, 8S], 7C, 6C, 4D]  |   [KC, 8H, 7H, 6H, 5C]   | Player 1 |
| 169  |   [KS, JC, TC, 6D, 3D]   |  [[9S, 9C], 7S, 6H, 2C]  | Player 2 |
| 170  |   [KD, TS, 6C, 5H, 3S]   |  [[9H, 9S], KH, 7D, 6H]  | Player 2 |
| 171  |   [QD, TS, 6H, 4C, 3D]   |   [AC, KD, 5C, 3S, 2H]   | Player 2 |
| 172  |   [AS, JS, 9S, 7C, 4C]   |   [KS, JC, TS, 9H, 7H]   | Player 1 |
| 173  |   [JD, 8C, 6H, 4H, 3H]   |   [AD, KS, 9S, 5S, 4S]   | Player 2 |
| 174  |   [AS, 7D, 4C, 3D, 2C]   |   [KC, QS, 9C, 6C, 2S]   | Player 1 |
| 175  |   [AC, 8S, 5H, 3D, 2S]   |   [TD, 9D, 6S, 4D, 3S]   | Player 1 |
| 176  |  [[TH, TS], QD, 7S, 3D]  |   [AC, QC, 7H, 6C, 5D]   | Player 1 |
| 177  |  [[QD, QS], AD, TC, 9C]  |  [[3D, 3C], KD, 8D, 5C]  | Player 1 |
| 178  |   [AS, 9D, 8H, 7C, 3S]   |  [[8S, 8D], KC, JD, 2D]  | Player 2 |
| 179  |   [AC, QH, JS, TH, 4C]   |  [[7D, 7S], KH, 9C, 8D]  | Player 2 |
| 180  |   [JH, 9D, 8D, 4C, 2C]   |   [KD, QD, TS, 4H, 2S]   | Player 2 |
| 181  |   [JH, 6D, 5D, 4D, 2D]   |  [[3S, 3H], KH, TC, 8S]  | Player 2 |
| 182  |   [AD, QS, 8C, 4D, 2C]   |  [[JH, JD], AH, KD, 5C]  | Player 2 |
| 183  |  [[5C, 5H], JH, 6C, 2H]  |   [KS, TC, 7C, 4H, 3H]   | Player 1 |
| 184  |   [QC, JH, 5D, 4C, 3C]   |   [KH, QD, TC, 9C, 8D]   | Player 2 |
| 185  |   [QH, JS, 9C, 7H, 3H]   |   [AS, JC, 9H, 7C, 5H]   | Player 2 |
| 186  |   [QD, 5S, 4S, 3C, 2D]   |  [[6S, 6C], KC, 5C, 4C]  | Player 2 |
| 187  |   [KH, TS, 8S, 5D, 2D]   |  [[9C, 9S], AS, 7C, 4C]  | Player 2 |
| 188  |  [[8C, 8D], AH, 7C, 5S]  |  [[QH, QS], KD, JH, 2C]  | Player 2 |
| 189  |  [[AH, AC], 9D, 8C, 2H]  |   [QC, 8H, 7H, 5S, 2C]   | Player 1 |
| 190  |  [[QD, QS, QC], 9H, 5S]  |   [JC, TH, 9C, 5H, 4H]   | Player 1 |
| 191  | [[6C, 6S], [3H, 3S], 5H] |   [AC, KS, 8D, 7S, 6H]   | Player 1 |
| 192  |   [AC, QH, 8C, 7H, 4S]   |  [[3D, 3S], KC, TC, 6C]  | Player 2 |
| 193  |   [AC, JS, TH, 9D, 3D]   |  [[3H, 3S], TC, 8S, 5H]  | Player 2 |
| 194  |  [[KH, KS], QD, JS, 9S]  |  [[AH, AC], QC, 8D, 3C]  | Player 2 |
| 195  |   [KH, 9S, 6C, 5H, 3S]   |   [AS, QD, JH, 8C, 2D]   | Player 2 |
| 196  |  [[7S, 7H], 6C, 5S, 4D]  |  [[JC, JH], 9H, 6S, 4H]  | Player 2 |
| 197  |  [[AH, AD], 9S, 6H, 5S]  |   [TH, 9D, 8C, 3S, 2H]   | Player 1 |
| 198  |   [QC, 9H, 8D, 7C, 4C]   |   [AD, KC, 9C, 5S, 4S]   | Player 2 |
| 199  |  [[4D, 4C], TC, 9D, 6H]  |   [AS, JH, 5D, 3S, 2S]   | Player 1 |
| 200  |   [KH, 7C, 6C, 5C, 2H]   |   [AD, QS, JD, TH, 8S]   | Player 2 |
| 201  |  [[AH, AS], 7S, 4S, 3S]  |   [AD, KC, JS, TH, 2S]   | Player 1 |
| 202  |   [KC, JS, 8C, 7D, 2S]   | [[9C, 9D], [5C, 5H], TS] | Player 2 |
| 203  |   [JH, TD, 9S, 7S, 4D]   |   [KH, JS, 6H, 5D, 2C]   | Player 2 |
| 204  |  [[JD, JS, JC], TH, 2D]  |   [AC, QD, 8C, 5H, 3D]   | Player 1 |
| 205  |  [[5S, 5D], KH, 9D, 7S]  |   [TD, 6H, 4S, 3C, 2D]   | Player 1 |
| 206  |  [[4S, 4D], AC, 8D, 5D]  |  [[AD, AS, AH], 9C, 7C]  | Player 2 |
| 207  |  [[TH, TS], KS, 6S, 2C]  |  [[AH, AS], QC, 4S, 3C]  | Player 2 |
| 208  |   [JC, 8C, 5C, 3S, 2H]   |  [[3H, 3C], KH, JH, 7C]  | Player 2 |
| 209  |   [JC, 7S, 6H, 5S, 3H]   |  [[4C, 4D], KC, 7H, 2S]  | Player 2 |
| 210  |  [[4D, 4H], 9S, 8S, 7C]  |  [[6S, 6C], AD, JC, TC]  | Player 2 |
| 211  |   [KH, QS, TC, 4C, 3S]   |  [[8H, 8S], AC, TS, 3C]  | Player 2 |
| 212  | [[QD, QS], [TH, TS], 3C] |  [[7H, 7D], AH, JC, TD]  | Player 1 |
| 213  |   [QC, JD, TD, 9S, 4D]   | [[AD, AC], [7S, 7D], TS] | Player 2 |
| 214  |  [[7H, 7C], AH, 6D, 4S]  |   [KS, JC, TD, 9D, 2H]   | Player 1 |
| 215  |   [AH, JD, 7C, 6D, 4H]   |  [[2H, 2C], QS, TS, 5C]  | Player 2 |
| 216  |   [KC, TC, 9S, 8C, 4C]   |  [[JS, JC], AH, 6S, 3C]  | Player 2 |
| 217  |   [AS, QC, 7D, 5S, 3D]   |  [[JC, JD], KH, TD, 9D]  | Player 2 |
| 218  |   [AH, TH, 6H, 3C, 2S]   |  [[5H, 5C], AC, 8H, 7S]  | Player 2 |
| 219  | [[QC, QD], [2D, 2S], AC] |   [QS, JD, 8H, 6S, 3S]   | Player 1 |
| 220  |   [KC, JS, 9D, 4H, 3C]   |  [[8S, 8C], AS, 6H, 3S]  | Player 2 |
| 221  |  [[7H, 7D], KC, JD, 2H]  |  [[QH, QS], JC, 5S, 3H]  | Player 2 |
| 222  |   [TD, 9H, 8H, 7S, 3S]   |  [[AC, AH], 7C, 6C, 5C]  | Player 2 |
| 223  |   [AH, JD, TD, 9H, 8D]   |   [QS, 9C, 8S, 7D, 3S]   | Player 1 |
| 224  |   [AH, KC, QH, JD, 3C]   |  [[5S, 5D], KS, TD, 4S]  | Player 2 |
| 225  |   [JH, TH, 9H, 7H, 6S]   |   [AD, 7C, 5C, 4C, 2D]   | Player 2 |
| 226  |   [KD, TC, 9D, 7C, 5S]   |  [[6S, 6C], TH, 5D, 2S]  | Player 2 |
| 227  |   [KC, 9H, 8D, 7H, 5H]   |   [AS, QC, 7C, 4H, 3D]   | Player 2 |
| 228  |   [QC, TD, 8S, 6S, 4S]   |  [[QS, QD], TH, 5C, 2S]  | Player 2 |
| 229  |   [QC, TH, 9H, 8S, 5H]   |  [[7D, 7C], KC, 6S, 5C]  | Player 2 |
| 230  |  [[KD, KH], AH, 7H, 4D]  |   [KC, QH, 5C, 4S, 2D]   | Player 1 |
| 231  |   [AS, JC, TD, 6S, 2C]   |  [[4D, 4H], 8C, 6C, 5S]  | Player 2 |
| 232  |  [[JC, JD], TC, 6S, 5S]  |  [[AS, AD], 9D, 8D, 3S]  | Player 2 |
| 233  | [[6D, 6H], [5D, 5S], TC] |  [[QS, QD], 9D, 7D, 3D]  | Player 1 |
| 234  |   [8S, 7S, 6C, 4S, 3S]   |  [[7D, 7C], AD, KS, 2D]  | Player 2 |
| 235  |  [[QH, QD], AC, KC, JC]  |  [[7H, 7D], QS, 8D, 5D]  | Player 1 |
| 236  |   [AH, JS, 8S, 5H, 3D]   |   [JH, TD, 6C, 4S, 3H]   | Player 1 |
| 237  |   [AS, QS, 9H, 7D, 4S]   |   [KS, JS, TC, 6D, 5C]   | Player 1 |
| 238  |   [TC, 6H, 5C, 4D, 2D]   |   [QH, 9H, 8S, 6C, 3D]   | Player 2 |
| 239  |  [[TC, TH], 7H, 6D, 5S]  |  [[KS, KD], JD, 9C, 5C]  | Player 2 |
| 240  |   [QH, TD, 8D, 6S, 4S]   |   [KC, TC, 8S, 6C, 5C]   | Player 2 |
| 241  |   [AC, KS, 5S, 4S, 3D]   |   [QD, TH, 7D, 4C, 2S]   | Player 1 |
| 242  |   [TS, 9S, 8H, 7S, 6S]   |   [AH, QH, 8C, 7H, 3C]   | Player 1 |
| 243  |   [QC, JS, TS, 8C, 4C]   |  [[7D, 7S], JH, 5D, 3D]  | Player 2 |
| 244  |   [AC, QC, 9D, 8S, 7S]   |   [KC, JH, 7C, 6D, 2H]   | Player 1 |
| 245  |   [KD, JS, 6S, 4S, 3C]   |   [AH, KS, QC, 7C, 5H]   | Player 2 |
| 246  |   [KS, QS, JD, 6S, 4H]   |   [AS, KC, TC, 8H, 6H]   | Player 2 |
